Strategy,Threads,Time_seconds,Speedup,Efficiency_percent
Hybrid-TLS,1,10.451287,0.598012,59.801249
Hybrid-TLS,2,6.385125,0.978838,48.941876
Hybrid-TLS,3,4.461492,1.400877,46.695885
Hybrid-TLS,4,3.448117,1.812584,45.314588
Hybrid-TLS,5,2.905498,2.151094,43.021889
Hybrid-TLS,6,2.637896,2.369313,39.488544
Hybrid-TLS,7,2.517416,2.482705,35.467214
Hybrid-TLS,8,2.368833,2.638430,32.980374
Hybrid-TLS,9,2.326257,2.686719,29.852436
Hybrid-TLS,10,2.482590,2.517532,25.175319
Hybrid-TLS,11,2.615222,2.389854,21.725947
Hybrid-TLS,12,2.389358,2.615765,21.798045
Hybrid-TLS,13,2.393379,2.611371,20.087469
Hybrid-TLS,14,2.481968,2.518163,17.986878
Hybrid-TLS,15,2.308427,2.707472,18.049812
Hybrid-TLS,16,2.512503,2.487559,15.547245
Single Reader,1,10.486643,0.595996,59.599625
Single Reader,2,5.275366,1.184752,59.237596
Single Reader,3,4.168954,1.499177,49.972569
Single Reader,4,3.517690,1.776734,44.418360
Single Reader,5,3.269075,1.911856,38.237111
Single Reader,6,2.887876,2.164220,36.070340
Single Reader,7,2.736628,2.283832,32.626173
Single Reader,8,2.607159,2.397246,29.965572
Single Reader,9,2.706753,2.309040,25.656000
Single Reader,10,2.530632,2.469739,24.697392
Single Reader,11,2.577223,2.425091,22.046279
Single Reader,12,2.460413,2.540224,21.168531
Single Reader,13,2.464028,2.536497,19.511515
Single Reader,14,2.469358,2.531022,18.078728
Single Reader,15,2.483058,2.517057,16.780382
Single Reader,16,2.463687,2.536848,15.855301
On the Fly,1,9.914178,0.630410,63.041034
On the Fly,2,5.267928,1.186425,59.321239
On the Fly,3,3.951655,1.581616,52.720521
On the Fly,4,3.176660,1.967475,49.186885
On the Fly,5,3.044135,2.053128,41.062569
On the Fly,6,2.894478,2.159284,35.988066
On the Fly,7,2.738465,2.282301,32.604297
On the Fly,8,2.508097,2.491929,31.149112
On the Fly,9,2.503192,2.496812,27.742357
On the Fly,10,2.450813,2.550175,25.501746
On the Fly,11,2.435687,2.566011,23.327374
On the Fly,12,2.573720,2.428392,20.236599
On the Fly,13,2.359433,2.648942,20.376474
On the Fly,14,2.305846,2.710502,19.360730
On the Fly,15,2.414978,2.588016,17.253437
On the Fly,16,2.464439,2.536074,15.850462
