===============================================
SUMMARY REPORT - 2-grammi
===============================================


--- Hybrid-TLS ---
  Threads:  1 | Time: 10.4513s | Speedup: 0.60 | Efficiency: 59.8%
  Threads:  2 | Time: 6.3851s | Speedup: 0.98 | Efficiency: 48.9%
  Threads:  3 | Time: 4.4615s | Speedup: 1.40 | Efficiency: 46.7%
  Threads:  4 | Time: 3.4481s | Speedup: 1.81 | Efficiency: 45.3%
  Threads:  5 | Time: 2.9055s | Speedup: 2.15 | Efficiency: 43.0%
  Threads:  6 | Time: 2.6379s | Speedup: 2.37 | Efficiency: 39.5%
  Threads:  7 | Time: 2.5174s | Speedup: 2.48 | Efficiency: 35.5%
  Threads:  8 | Time: 2.3688s | Speedup: 2.64 | Efficiency: 33.0%
  Threads:  9 | Time: 2.3263s | Speedup: 2.69 | Efficiency: 29.9%
  Threads: 10 | Time: 2.4826s | Speedup: 2.52 | Efficiency: 25.2%
  Threads: 11 | Time: 2.6152s | Speedup: 2.39 | Efficiency: 21.7%
  Threads: 12 | Time: 2.3894s | Speedup: 2.62 | Efficiency: 21.8%
  Threads: 13 | Time: 2.3934s | Speedup: 2.61 | Efficiency: 20.1%
  Threads: 14 | Time: 2.4820s | Speedup: 2.52 | Efficiency: 18.0%
  Threads: 15 | Time: 2.3084s | Speedup: 2.71 | Efficiency: 18.0%
  Threads: 16 | Time: 2.5125s | Speedup: 2.49 | Efficiency: 15.5%
  → Best: 15 threads (speedup: 2.71x)

--- Single Reader ---
  Threads:  1 | Time: 10.4866s | Speedup: 0.60 | Efficiency: 59.6%
  Threads:  2 | Time: 5.2754s | Speedup: 1.18 | Efficiency: 59.2%
  Threads:  3 | Time: 4.1690s | Speedup: 1.50 | Efficiency: 50.0%
  Threads:  4 | Time: 3.5177s | Speedup: 1.78 | Efficiency: 44.4%
  Threads:  5 | Time: 3.2691s | Speedup: 1.91 | Efficiency: 38.2%
  Threads:  6 | Time: 2.8879s | Speedup: 2.16 | Efficiency: 36.1%
  Threads:  7 | Time: 2.7366s | Speedup: 2.28 | Efficiency: 32.6%
  Threads:  8 | Time: 2.6072s | Speedup: 2.40 | Efficiency: 30.0%
  Threads:  9 | Time: 2.7068s | Speedup: 2.31 | Efficiency: 25.7%
  Threads: 10 | Time: 2.5306s | Speedup: 2.47 | Efficiency: 24.7%
  Threads: 11 | Time: 2.5772s | Speedup: 2.43 | Efficiency: 22.0%
  Threads: 12 | Time: 2.4604s | Speedup: 2.54 | Efficiency: 21.2%
  Threads: 13 | Time: 2.4640s | Speedup: 2.54 | Efficiency: 19.5%
  Threads: 14 | Time: 2.4694s | Speedup: 2.53 | Efficiency: 18.1%
  Threads: 15 | Time: 2.4831s | Speedup: 2.52 | Efficiency: 16.8%
  Threads: 16 | Time: 2.4637s | Speedup: 2.54 | Efficiency: 15.9%
  → Best: 12 threads (speedup: 2.54x)

--- On the Fly ---
  Threads:  1 | Time: 9.9142s | Speedup: 0.63 | Efficiency: 63.0%
  Threads:  2 | Time: 5.2679s | Speedup: 1.19 | Efficiency: 59.3%
  Threads:  3 | Time: 3.9517s | Speedup: 1.58 | Efficiency: 52.7%
  Threads:  4 | Time: 3.1767s | Speedup: 1.97 | Efficiency: 49.2%
  Threads:  5 | Time: 3.0441s | Speedup: 2.05 | Efficiency: 41.1%
  Threads:  6 | Time: 2.8945s | Speedup: 2.16 | Efficiency: 36.0%
  Threads:  7 | Time: 2.7385s | Speedup: 2.28 | Efficiency: 32.6%
  Threads:  8 | Time: 2.5081s | Speedup: 2.49 | Efficiency: 31.1%
  Threads:  9 | Time: 2.5032s | Speedup: 2.50 | Efficiency: 27.7%
  Threads: 10 | Time: 2.4508s | Speedup: 2.55 | Efficiency: 25.5%
  Threads: 11 | Time: 2.4357s | Speedup: 2.57 | Efficiency: 23.3%
  Threads: 12 | Time: 2.5737s | Speedup: 2.43 | Efficiency: 20.2%
  Threads: 13 | Time: 2.3594s | Speedup: 2.65 | Efficiency: 20.4%
  Threads: 14 | Time: 2.3058s | Speedup: 2.71 | Efficiency: 19.4%
  Threads: 15 | Time: 2.4150s | Speedup: 2.59 | Efficiency: 17.3%
  Threads: 16 | Time: 2.4644s | Speedup: 2.54 | Efficiency: 15.9%
  → Best: 14 threads (speedup: 2.71x)
