Strategy,Threads,Time_seconds,Speedup,Efficiency_percent
Chunk-based-TLS,1,5.633588,1.095683,109.568290
Chunk-based-TLS,2,2.610617,2.364431,118.221572
Chunk-based-TLS,3,1.804716,3.420276,114.009203
Chunk-based-TLS,4,1.398649,4.413277,110.331923
Chunk-based-TLS,5,1.205038,5.122349,102.446980
Chunk-based-TLS,6,1.050389,5.876513,97.941886
Chunk-based-TLS,7,0.963724,6.404973,91.499611
Chunk-based-TLS,8,0.890060,6.935064,86.688300
Chunk-based-TLS,9,0.849017,7.270321,80.781343
Chunk-based-TLS,10,0.782777,7.885547,78.855470
Chunk-based-TLS,11,0.754747,8.178400,74.349094
Chunk-based-TLS,12,0.746562,8.268069,68.900573
Chunk-based-TLS,13,0.719992,8.573188,65.947603
Chunk-based-TLS,14,0.697100,8.854721,63.248010
Chunk-based-TLS,15,0.694642,8.886049,59.240325
Chunk-based-TLS,16,0.660490,9.345519,58.409496
Document-level-TLS,1,5.802152,1.063851,106.385118
Document-level-TLS,2,3.052049,2.022453,101.122651
Document-level-TLS,3,2.291765,2.693394,89.779804
Document-level-TLS,4,1.819258,3.392936,84.823400
Document-level-TLS,5,1.628266,3.790920,75.818397
Document-level-TLS,6,1.484316,4.158567,69.309445
Document-level-TLS,7,1.421526,4.342252,62.032176
Document-level-TLS,8,1.541212,4.005047,50.063090
Document-level-TLS,9,1.337880,4.613736,51.263730
Document-level-TLS,10,1.270586,4.858095,48.580952
Document-level-TLS,11,1.165600,5.295666,48.142415
Document-level-TLS,12,1.238214,4.985105,41.542539
Document-level-TLS,13,1.162085,5.311684,40.859107
Document-level-TLS,14,1.156942,5.335295,38.109252
Document-level-TLS,15,1.116862,5.526756,36.845041
Document-level-TLS,16,1.081160,5.709261,35.682880
Fine-grained-locking,1,11.233346,0.549491,54.949129
Fine-grained-locking,2,8.364228,0.737979,36.898957
Fine-grained-locking,3,7.587553,0.813520,27.117334
Fine-grained-locking,4,6.828282,0.903979,22.599485
Fine-grained-locking,5,6.399776,0.964507,19.290132
Fine-grained-locking,6,6.175883,0.999473,16.657878
Fine-grained-locking,7,6.087760,1.013940,14.484864
Fine-grained-locking,8,5.893128,1.047428,13.092847
Fine-grained-locking,9,5.888182,1.048308,11.647862
Fine-grained-locking,10,5.936131,1.039840,10.398399
Fine-grained-locking,11,5.985585,1.031249,9.374988
Fine-grained-locking,12,6.348598,0.972282,8.102348
Fine-grained-locking,13,6.290105,0.981323,7.548640
Fine-grained-locking,14,6.112199,1.009886,7.213473
Fine-grained-locking,15,6.197466,0.995992,6.639946
Fine-grained-locking,16,6.220878,0.992244,6.201523
