frequency,count
1,8553220
2,913798
3,299394
4,149741
5,87651
6,57600
7,40690
8,29746
9,22713
10,18047
11,14638
12,12071
13,10134
14,8599
15,7316
16,6378
17,5436
18,4822
19,4299
20,3824
21,3276
22,3133
23,2882
24,2467
25,2240
26,2157
27,1909
28,1846
29,1676
30,1556
31,1449
32,1321
33,1194
34,1173
35,1117
36,1044
37,944
38,925
39,849
40,762
41,740
42,717
43,652
44,623
45,639
46,574
47,545
48,491
49,503
50,443
51,439
52,452
53,432
54,423
55,365
56,339
57,364
58,328
59,326
60,338
61,294
62,286
63,307
64,253
65,264
66,278
67,260
68,236
69,229
70,224
71,205
72,197
73,219
74,186
75,196
76,187
77,174
78,166
79,146
80,153
81,144
82,148
83,146
84,145
85,139
86,155
87,1807
88,252
89,173
90,146
91,160
92,146
93,118
94,122
95,120
96,108
97,123
98,99
99,93
100,102
101,124
102,98
103,93
104,92
105,91
106,86
107,94
108,89
109,75
110,66
111,75
112,90
113,75
114,69
115,79
116,64
117,70
118,69
119,56
120,57
121,57
122,58
123,69
124,51
125,53
126,49
127,51
128,55
129,60
130,58
131,46
132,47
133,51
134,52
135,51
136,42
137,41
138,42
139,43
140,49
141,45
142,43
143,45
144,44
145,40
146,35
147,47
148,38
149,39
150,42
151,34
152,41
153,34
154,38
155,43
156,41
157,44
158,25
159,32
160,50
161,28
162,32
163,26
164,26
165,32
166,26
167,33
168,26
169,34
170,24
171,27
172,19
173,19
174,155
175,44
176,36
177,29
178,25
179,28
180,33
181,19
182,25
183,20
184,22
185,25
186,23
187,24
188,27
189,17
190,18
191,26
192,24
193,20
194,17
195,16
196,15
197,14
198,17
199,25
200,23
201,14
202,22
203,14
204,18
205,14
206,18
207,22
208,12
209,21
210,24
211,11
212,21
213,21
214,14
215,16
216,13
217,13
218,20
219,12
220,10
221,14
222,17
223,17
224,17
225,15
226,11
227,17
228,13
229,20
230,14
231,9
232,19
233,12
234,12
235,16
236,18
237,8
238,6
239,13
240,16
241,11
242,10
243,11
244,7
245,17
246,11
247,19
248,13
249,13
250,11
251,12
252,11
253,6
254,6
255,13
256,13
257,13
258,3
259,11
260,6
261,40
262,13
263,8
264,13
265,13
266,9
267,11
268,11
269,6
270,8
271,12
272,9
273,10
274,10
275,4
276,6
277,7
278,10
279,7
280,12
281,7
282,8
283,5
284,13
285,8
286,12
287,9
288,10
289,9
290,8
291,6
292,12
293,8
294,8
295,6
296,3
297,2
298,6
299,5
300,9
301,13
302,5
303,7
304,7
305,4
306,3
307,1
308,9
309,9
310,7
311,7
312,12
313,8
314,7
315,3
316,3
317,4
318,6
319,6
320,5
321,4
322,3
323,7
324,4
325,10
326,9
327,6
328,3
329,8
330,3
331,2
332,4
333,7
335,6
336,6
337,2
338,3
339,5
340,5
341,5
342,3
343,2
344,1
345,6
346,3
347,5
348,14
349,6
350,3
351,6
352,10
353,3
354,2
355,6
356,4
357,2
358,3
359,8
360,2
361,9
362,2
363,5
364,6
365,6
366,4
367,2
368,4
369,7
370,3
371,3
372,3
373,3
374,4
375,2
376,4
377,4
378,3
379,5
380,4
381,3
382,4
383,4
384,5
385,7
386,3
387,3
388,6
389,6
390,7
391,3
392,2
393,4
394,4
395,6
396,3
397,2
398,4
399,4
400,3
401,1
402,3
404,3
405,1
406,1
407,4
408,3
409,1
410,6
411,3
412,5
413,5
414,3
415,7
416,4
417,2
418,1
419,3
420,3
421,3
422,3
423,1
424,2
425,2
426,2
427,1
428,2
429,6
430,2
431,3
432,2
433,3
435,13
436,3
437,2
438,1
439,2
440,3
441,2
442,4
443,3
444,3
445,3
447,4
448,3
449,1
450,4
451,2
452,3
453,3
454,1
455,3
456,1
457,3
458,2
459,3
460,2
461,3
464,2
465,5
466,2
467,1
468,4
469,3
470,3
471,1
472,4
473,2
474,1
475,4
476,1
477,3
478,3
479,3
480,3
481,2
482,2
484,2
487,1
488,1
489,1
490,2
491,1
493,3
494,3
495,1
496,5
497,3
498,1
499,5
501,2
502,1
503,2
504,3
506,1
507,2
508,1
