Strategy,Threads,Time_seconds,Speedup,Efficiency_percent
Hybrid-TLS,1,23.931717,0.400961,40.096086
Hybrid-TLS,2,18.245765,0.525913,26.295641
Hybrid-TLS,3,14.688357,0.653285,21.776163
Hybrid-TLS,4,12.057333,0.795838,19.895945
Hybrid-TLS,5,15.938294,0.602052,12.041040
Hybrid-TLS,6,11.471908,0.836450,13.940840
Hybrid-TLS,7,10.843586,0.884918,12.641682
Hybrid-TLS,8,10.826495,0.886315,11.078934
Hybrid-TLS,9,12.678785,0.756830,8.409219
Hybrid-TLS,10,10.327451,0.929143,9.291432
Hybrid-TLS,11,11.847064,0.809963,7.363299
Hybrid-TLS,12,9.804261,0.978726,8.156047
Hybrid-TLS,13,10.100628,0.950008,7.307757
Hybrid-TLS,14,10.100372,0.950033,6.785947
Hybrid-TLS,15,10.249491,0.936211,6.241404
Hybrid-TLS,16,9.887972,0.970440,6.065249
Single Reader,1,21.541661,0.445448,44.544763
Single Reader,2,16.246517,0.590630,29.531504
Single Reader,3,13.677367,0.701574,23.385792
Single Reader,4,12.720340,0.754357,18.858934
Single Reader,5,12.077137,0.794533,15.890656
Single Reader,6,11.418877,0.840335,14.005582
Single Reader,7,11.109314,0.863751,12.339301
Single Reader,8,10.914450,0.879172,10.989653
Single Reader,9,10.802721,0.888265,9.869614
Single Reader,10,10.561421,0.908560,9.085597
Single Reader,11,10.506224,0.913333,8.303028
Single Reader,12,10.581969,0.906795,7.556629
Single Reader,13,10.576870,0.907233,6.978713
Single Reader,14,10.037692,0.955965,6.828321
Single Reader,15,10.433157,0.919729,6.131530
Single Reader,16,10.405383,0.922184,5.763652
On the Fly,1,20.157577,0.476033,47.603350
On the Fly,2,14.108258,0.680146,34.007324
On the Fly,3,12.684764,0.756473,25.215767
On the Fly,4,11.375334,0.843552,21.088792
On the Fly,5,12.015934,0.798580,15.971595
On the Fly,6,10.296645,0.931923,15.532052
On the Fly,7,10.229798,0.938013,13.400183
On the Fly,8,10.190527,0.941628,11.770345
On the Fly,9,9.620588,0.997411,11.082346
On the Fly,10,10.232004,0.937811,9.378106
On the Fly,11,9.849549,0.974226,8.856596
On the Fly,12,9.650089,0.994362,8.286350
On the Fly,13,9.573478,1.002319,7.710148
On the Fly,14,9.520363,1.007911,7.199367
On the Fly,15,9.443018,1.016167,6.774446
On the Fly,16,9.392127,1.021673,6.385456
