Strategy,Multiplier,Threads,Time_seconds,Speedup,Efficiency_percent
Chunk based,1,16,14.847927,0.399382,2.496140
Chunk based,2,16,20.560493,0.502906,3.143164
Chunk based,3,16,26.546615,0.566174,3.538587
Chunk based,4,16,35.163226,0.563373,3.521079
Chunk based,5,16,34.186187,0.709936,4.437099
Chunk based,6,16,38.880513,0.792428,4.952674
Chunk based,7,16,44.943135,0.819702,5.123141
Chunk based,8,16,48.978055,0.816692,5.104327
Chunk based,9,16,52.220248,0.880501,5.503134
Chunk based,10,16,54.793880,0.903751,5.648441
Document Level,1,16,15.816548,0.374924,2.343274
Document Level,2,16,21.207490,0.487564,3.047272
Document Level,3,16,27.276165,0.551031,3.443941
Document Level,4,16,31.132389,0.636315,3.976968
Document Level,5,16,36.052789,0.673180,4.207372
Document Level,6,16,42.904358,0.718109,4.488180
Document Level,7,16,50.902893,0.723731,4.523319
Document Level,8,16,50.639771,0.789893,4.936831
Document Level,9,16,51.258067,0.897030,5.606435
Document Level,10,16,56.806399,0.871733,5.448330
Fine-grained-locking,1,16,16.073128,0.368939,2.305867
Fine-grained-locking,2,16,15.181570,0.681089,4.256806
Fine-grained-locking,3,16,16.303088,0.921911,5.761945
Fine-grained-locking,4,16,18.287550,1.083251,6.770316
Fine-grained-locking,5,16,18.701950,1.297726,8.110785
Fine-grained-locking,6,16,19.971818,1.542674,9.641711
Fine-grained-locking,7,16,20.835995,1.768094,11.050588
Fine-grained-locking,8,16,23.951703,1.670027,10.437671
Fine-grained-locking,9,16,23.372868,1.967238,12.295239
Fine-grained-locking,10,16,25.222118,1.963356,12.270976
